entity,variable,date,value,unit,measurementMethod,observationPeriod
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-04-30,60033000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-05-31,90902000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-06-30,242783998959,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-07-31,85043000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-08-31,149892999569.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-09-30,384348000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-10-31,198087918163.75,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-11-30,177263937743.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2016-12-31,403420000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-01-31,165225935674,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-02-28,194040964576,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-03-31,328793000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-04-30,174465798241,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-05-31,244165920237.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-06-30,365114238032.25,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-07-31,189886932419.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-08-31,204275941522.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-09-30,298479715240,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-10-31,164445000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-11-30,96208979215.25,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2017-12-31,288134308551.34,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-01-31,55086980311.25,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-02-28,31049983104,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-03-31,22621000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-04-30,13720000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-05-31,21465000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-06-30,88810000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-07-31,9035000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-08-31,380000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-09-30,44945000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-10-31,4805000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-11-30,2455000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2018-12-31,39648000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-01-31,1041000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-02-28,3405000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-03-31,721000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-04-30,5000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-05-31,855000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-06-30,43607000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-07-31,7365958066,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-08-31,12089000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-09-30,7057000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-10-31,2849984297,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
